ID_Denuncia,FechaDenuncia,HoraDenuncia,TipoRobo,ZonaHecho,NombreDenunciante,EdadDenunciante,GeneroDenunciante,DescripcionHecho,MedioPrueba,UnidadInvestigacion,EstadoCaso,SospechosoIdentificado,MontoEstimadoPerdido,ReincidenciaZona
FELCC-00024,2025-05-07,08:51:59,Robo a mano armada,Zona Sur,Clementina Meléndez Solana,47,Femenino,"Et officia aut maxime. Reiciendis eaque quidem modi laboriosam nulla voluptate suscipit.
Animi molestias harum ipsa esse voluptate assumenda.",Cámara de seguridad,División Cibercrimen,Con detenido,No,49242,Alta
FELCC-00025,2025-05-07,22:29:23,Robo en vía pública,Miraflores,Roque Enríquez-Cervantes,73,Masculino,"Doloremque inventore atque in amet.
Ullam labore minima repellendus. Dolor quos ratione rem occaecati porro excepturi. Harum voluptatum sequi ipsa deserunt fugit.",Huella digital,Unidad de Robo de Vehículos,Con detenido,No,1508,Alta
FELCC-00026,2025-05-07,08:11:28,Robo en vía pública,Villa El Carmen,Dalila Bermudez Gargallo,37,Masculino,Consequatur cumque repellendus provident. Asperiores soluta ullam facilis.,Ninguno,Unidad de Robo de Vehículos,Con detenido,No,33506,Media
FELCC-00027,2025-05-07,21:58:33,Robo de vehículo,Sopocachi,Concha Salazar Blazquez,51,Femenino,"Assumenda earum ab. Cum exercitationem id voluptate. Aperiam atque dolore reprehenderit nostrum dolorum.
Praesentium amet impedit nam porro.",Ninguno,División Cibercrimen,Sin pistas,No,33165,Media
FELCC-00028,2025-05-07,19:39:14,Robo de vehículo,Villa El Carmen,Artemio Martinez Franco,25,Masculino,"Omnis commodi non explicabo. Consequuntur sapiente veniam dolores quae. Deserunt quas molestias iure tempore illo nihil.
Delectus cum explicabo consectetur nulla hic laborum.",Reconocimiento visual,División Cibercrimen,Sin pistas,No,1953,Media
FELCC-00029,2025-05-07,10:45:38,Robo domiciliario,Sopocachi,Loreto Farré Cárdenas,37,Masculino,Laborum ea numquam temporibus. Earum debitis nemo qui recusandae consequatur eum maxime. Fugit impedit perspiciatis rerum architecto.,Huella digital,División Cibercrimen,Con detenido,No,11050,Media
FELCC-00030,2025-05-07,02:22:21,Robo de vehículo,Centro La Paz,Rodrigo Almansa Peñalver,68,Masculino,Molestias quisquam praesentium ipsa excepturi unde distinctio. Soluta harum itaque ea minus maxime id.,Ninguno,Unidad de Robo de Vehículos,Derivado a fiscalía,Sí,13374,Alta
FELCC-00031,2025-05-07,16:14:44,Robo domiciliario,Zona Sur,Silvio de Nogués,64,Masculino,Beatae quos minima recusandae.,Huella digital,Unidad de Delitos Contra la Propiedad,Derivado a fiscalía,Sí,41504,Baja
FELCC-00032,2025-05-07,19:42:18,Robo en vía pública,Villa El Carmen,Hector Sastre-Expósito,33,Masculino,Hic veritatis doloremque necessitatibus illo nisi dicta qui. Possimus assumenda praesentium eum.,Cámara de seguridad,Unidad de Delitos Contra la Propiedad,En investigación,Sí,15136,Alta
FELCC-00033,2025-05-07,11:12:58,Robo de vehículo,El Alto 1ra,Juan Pablo Manso Amores,39,Femenino,"Optio sint atque facilis. Magnam doloremque molestiae ducimus facilis ipsum repellendus.
Aspernatur necessitatibus sint accusamus nam. Incidunt cum esse optio ut saepe.",Huella digital,Unidad de Delitos Contra la Propiedad,Derivado a fiscalía,Sí,25607,Media
FELCC-00034,2025-05-07,16:34:39,Robo a mano armada,El Alto 1ra,Lola Gabaldón,18,Femenino,Placeat magni rerum excepturi praesentium. Debitis quisquam a quos rerum magni. Molestiae qui iure aliquid saepe.,Ninguno,Unidad de Delitos Contra la Propiedad,Cerrado,No,46326,Alta
FELCC-00035,2025-05-07,07:42:25,Robo a comercio,Sopocachi,Ana Tena Chico,66,Masculino,Tempora iste nisi pariatur. Excepturi voluptatum nisi harum temporibus velit eos.,Testigos,Unidad de Robo de Vehículos,Derivado a fiscalía,Sí,31005,Alta
FELCC-00036,2025-05-07,20:44:07,Robo a comercio,El Alto 1ra,Rómulo Santiago Asensio,41,Femenino,Veniam nihil exercitationem veritatis. Ex vel dolores excepturi molestiae deserunt. Nam dicta nam nemo.,Testigos,División Cibercrimen,Sin pistas,Sí,9885,Baja
FELCC-00037,2025-05-07,02:30:07,Robo domiciliario,Zona Sur,Severiano Dueñas Doménech,66,Masculino,Placeat tenetur rerum voluptates. Ea numquam error incidunt amet. Voluptatem iusto doloribus exercitationem explicabo.,Cámara de seguridad,Unidad de Robo de Vehículos,En investigación,Sí,17366,Media
FELCC-00038,2025-05-07,13:17:07,Robo en vía pública,Villa El Carmen,Saturnino Alcolea,28,Masculino,"Nesciunt explicabo a odit iste est perspiciatis alias. Dicta ad repellat doloribus soluta sint.
Doloremque sit sapiente eligendi. Dolorum unde laboriosam pariatur.",Huella digital,División Cibercrimen,Con detenido,No,34152,Alta
FELCC-00039,2025-05-07,11:30:04,Robo a comercio,El Alto 1ra,Alexandra Gelabert Lucas,72,Femenino,Iste nam ab assumenda corrupti. Minima ab eveniet modi. Molestias sint perferendis nemo qui corporis.,Testigos,Unidad de Delitos Contra la Propiedad,Sin pistas,Sí,33130,Baja
FELCC-00040,2025-05-07,09:01:06,Robo en vía pública,Miraflores,Manuelita Nadal Llopis,68,Femenino,"Natus maiores sunt laudantium similique doloremque ea.
Natus commodi natus. Labore accusamus ratione tenetur corrupti non nihil maiores.
Odit illo amet.",Reconocimiento visual,Unidad de Robo de Vehículos,Con detenido,No,29749,Media
FELCC-00041,2025-05-07,16:44:49,Robo de vehículo,Zona Sur,Eric Dalmau Nuñez,60,Femenino,Asperiores necessitatibus magni incidunt accusantium corporis. Doloremque ipsum aut pariatur nam explicabo. Autem vitae quasi ipsa iusto pariatur inventore tempora.,Cámara de seguridad,División Cibercrimen,Derivado a fiscalía,No,30709,Media
FELCC-00042,2025-05-07,02:38:19,Robo de vehículo,Miraflores,Francisco Javier Tormo Morata,43,Masculino,"Voluptates numquam labore sit animi reiciendis. Explicabo nemo nesciunt itaque sunt.
Earum totam numquam non harum illo error.",Huella digital,Unidad de Delitos Contra la Propiedad,Derivado a fiscalía,Sí,30741,Media
FELCC-00043,2025-05-07,10:51:45,Robo en vía pública,Zona Sur,Marita Luz Estrada,52,Femenino,"Vitae provident vitae officia officiis nisi cum. Optio at odit quam voluptatibus.
Non nostrum rerum sapiente dolore eum. Expedita repudiandae eius.",Testigos,División Cibercrimen,Derivado a fiscalía,Sí,20012,Media
FELCC-00044,2025-05-07,02:22:58,Robo en vía pública,Miraflores,Leoncio Sureda,56,Masculino,"Cumque occaecati atque magni accusamus cumque aliquam corporis. Unde harum error quos.
Libero ipsa corrupti aliquid. Illo corporis ratione eius.",Cámara de seguridad,División Cibercrimen,Derivado a fiscalía,Sí,19859,Alta
FELCC-00045,2025-05-07,21:51:29,Robo domiciliario,Zona Sur,Claudio de Jaén,54,Masculino,Debitis aut optio eaque maxime deserunt. Maxime expedita consequatur a qui. Porro delectus maiores perferendis neque.,Huella digital,Unidad de Delitos Contra la Propiedad,En investigación,No,4561,Media
FELCC-00046,2025-05-07,20:16:44,Robo a comercio,El Alto 1ra,Petrona Llabrés-Sanjuan,61,Masculino,"Iste tenetur odio. Architecto cumque consequuntur id perferendis eum.
Ducimus illum natus veritatis possimus. Quibusdam rem ab quaerat.",Testigos,Unidad de Robo de Vehículos,Sin pistas,No,11048,Media
FELCC-00047,2025-05-07,21:05:23,Robo a comercio,El Alto 1ra,Lázaro del Villaverde,37,Masculino,Molestiae sequi adipisci voluptatibus voluptatibus nihil. Adipisci ullam sed laborum deserunt cupiditate.,Testigos,Unidad de Robo de Vehículos,En investigación,No,38534,Alta
FELCC-00048,2025-05-07,22:25:40,Robo en vía pública,El Alto 1ra,Maximiano Alegre Franco,51,Femenino,"Sequi voluptatum cum rem. Facere natus possimus.
Fuga voluptas illo. Nulla hic deleniti. Ipsa voluptatibus iusto quaerat.",Testigos,División Cibercrimen,En investigación,Sí,17430,Baja
FELCC-00049,2025-05-07,04:26:17,Robo a mano armada,El Alto 1ra,Leocadia Rosales Blanes,34,Masculino,Eveniet consequatur accusantium doloribus dicta. Minus amet quae eaque veniam. Ullam cumque explicabo. Itaque cupiditate eaque placeat.,Cámara de seguridad,División Cibercrimen,Con detenido,No,47187,Media
FELCC-00050,2025-05-07,06:54:43,Robo a comercio,Centro La Paz,Daniela Varela Diéguez,18,Masculino,"Tenetur adipisci eligendi nemo expedita. Unde rem magni ad explicabo explicabo.
Ullam id culpa sed.
Nihil quibusdam esse doloribus voluptatibus labore. Autem quod quisquam.",Ninguno,Unidad de Robo de Vehículos,Derivado a fiscalía,Sí,2582,Baja
FELCC-00051,2025-05-07,12:36:45,Robo a mano armada,Miraflores,Eduardo Vila Andrade,50,Femenino,Error ullam ad autem nobis dolorum. Possimus quis placeat assumenda eligendi inventore.,Ninguno,División Cibercrimen,Derivado a fiscalía,Sí,17174,Alta
FELCC-00052,2025-05-07,14:29:13,Robo de vehículo,Villa El Carmen,José Ángel Cabañas Arnaiz,30,Masculino,"Fugiat blanditiis occaecati maiores. Sequi quae harum quidem eum tenetur. Nisi voluptatibus dolore recusandae quaerat.
Iure corrupti officiis cum quisquam dolores numquam.",Reconocimiento visual,División Cibercrimen,Derivado a fiscalía,Sí,42427,Media
FELCC-00053,2025-05-07,16:00:53,Robo a mano armada,El Alto 1ra,Eleuterio Collado Marco,65,Masculino,Sit aperiam neque. Atque laboriosam accusamus cumque eveniet perferendis. Exercitationem nesciunt nam incidunt labore corporis reiciendis.,Testigos,Unidad de Delitos Contra la Propiedad,Sin pistas,Sí,16113,Media
FELCC-00054,2025-05-07,08:25:23,Robo domiciliario,Sopocachi,Lola Mosquera Priego,32,Femenino,"Maxime error consequuntur mollitia delectus ut. Optio animi impedit vel error.
Eveniet illum aliquam non. Dicta consequuntur adipisci dolor adipisci quo.",Cámara de seguridad,Unidad de Robo de Vehículos,En investigación,Sí,3780,Alta
FELCC-00055,2025-05-07,17:15:32,Robo domiciliario,Zona Sur,Efraín Tenorio Alsina,72,Femenino,"Laborum harum molestias ipsam eius. Animi sit impedit.
Omnis dolorem modi velit. Dolor placeat minus quidem illo.",Testigos,Unidad de Robo de Vehículos,Sin pistas,No,1341,Baja
FELCC-00056,2025-05-07,16:57:50,Robo a mano armada,Zona Sur,Blas Miró Alcalá,50,Femenino,"Nisi inventore adipisci cupiditate delectus. Minus repellat suscipit debitis ducimus.
Ea tempore error doloribus. Maiores unde sequi excepturi.",Ninguno,División Cibercrimen,En investigación,No,34538,Baja
FELCC-00057,2025-05-07,21:59:49,Robo en vía pública,Zona Sur,Rosario Segovia Almeida,23,Masculino,Quia blanditiis explicabo nihil. Necessitatibus dignissimos minima corporis natus ratione. Repellendus illo aliquid vel distinctio.,Ninguno,Unidad de Robo de Vehículos,Sin pistas,No,47518,Media
FELCC-00058,2025-05-07,22:33:30,Robo en vía pública,Villa El Carmen,Aurelia Arenas Castelló,21,Femenino,"Autem a possimus quaerat.
Placeat impedit cumque omnis cupiditate. Ducimus architecto quo sed.",Huella digital,Unidad de Robo de Vehículos,Con detenido,Sí,14067,Alta
FELCC-00059,2025-05-07,22:02:28,Robo en vía pública,Centro La Paz,Mateo del Roura,52,Femenino,"Quibusdam aliquid reiciendis accusamus dolore odio. Aperiam eum non iusto iusto ipsum.
Tempora eaque laudantium quo itaque suscipit repellendus.",Reconocimiento visual,Unidad de Delitos Contra la Propiedad,Cerrado,Sí,12191,Baja
FELCC-00060,2025-05-07,12:59:07,Robo a mano armada,Sopocachi,Omar Pérez-Berrocal,45,Masculino,Nisi quos laudantium excepturi enim. Rerum at placeat voluptatibus iusto.,Huella digital,División Cibercrimen,Con detenido,Sí,33123,Alta
FELCC-00061,2025-05-07,01:25:16,Robo domiciliario,El Alto 1ra,Conrado Millán,63,Femenino,Laboriosam nesciunt expedita unde. Illo doloribus delectus sequi nam. Dolores perspiciatis quam ullam.,Ninguno,Unidad de Delitos Contra la Propiedad,Con detenido,No,36418,Baja
FELCC-00062,2025-05-07,09:16:09,Robo en vía pública,Sopocachi,Rebeca Monreal Silva,33,Masculino,Velit minima odit error qui illo. Ducimus voluptas voluptatem quasi suscipit laudantium officiis. Dolorem fuga est aperiam.,Testigos,Unidad de Delitos Contra la Propiedad,Sin pistas,Sí,37112,Media
FELCC-00063,2025-05-07,02:40:49,Robo a comercio,El Alto 1ra,Marisela Trillo Llabrés,61,Masculino,Accusantium suscipit vel voluptas provident. Dolorum harum sapiente inventore fugiat amet.,Reconocimiento visual,Unidad de Robo de Vehículos,Derivado a fiscalía,Sí,21651,Media
FELCC-00064,2025-05-07,14:54:28,Robo domiciliario,Zona Sur,Aurelia Rosado-Jove,31,Femenino,Ullam iste quibusdam reprehenderit. Repudiandae qui maxime ad qui. Dicta ea odio quidem eum.,Ninguno,Unidad de Delitos Contra la Propiedad,Derivado a fiscalía,Sí,38140,Baja
FELCC-00065,2025-05-07,15:19:19,Robo en vía pública,El Alto 1ra,Eugenia Baños Vergara,31,Femenino,Assumenda vitae ullam quia veritatis et quo. Iusto pariatur eligendi eaque consectetur ducimus recusandae. Similique nihil blanditiis officia.,Reconocimiento visual,Unidad de Delitos Contra la Propiedad,En investigación,Sí,15505,Baja
FELCC-00066,2025-05-07,02:11:29,Robo a mano armada,Zona Sur,Nicodemo Jeremías Solera Cantero,55,Masculino,Corporis voluptatem inventore voluptatem quos blanditiis voluptates nobis. Quae assumenda perspiciatis fugit. Dolores dicta asperiores illum et quis repellendus.,Huella digital,Unidad de Delitos Contra la Propiedad,En investigación,No,38373,Media
FELCC-00067,2025-05-07,03:05:05,Robo domiciliario,Centro La Paz,Angelita Alcalá Marín,71,Femenino,Tenetur explicabo veniam nihil unde. Iure excepturi officiis libero enim. Dolorem provident sit aut vero nulla.,Huella digital,Unidad de Delitos Contra la Propiedad,Sin pistas,No,42292,Media
FELCC-00068,2025-05-07,08:37:00,Robo de vehículo,Zona Sur,Gabriela Llorente Cabrero,35,Masculino,"Atque odit eos harum itaque. Voluptatem nostrum facere error officiis voluptate fugit.
Natus quas hic. Culpa ducimus repellat autem corporis praesentium.",Huella digital,División Cibercrimen,En investigación,Sí,7954,Baja
FELCC-00069,2025-05-07,18:10:28,Robo domiciliario,Miraflores,Manolo Vilalta Arévalo,58,Masculino,"Deleniti cupiditate sed. Aliquid quas itaque. Earum ratione enim.
Tenetur alias possimus exercitationem nobis eos iste. Tenetur laboriosam magnam nihil.",Huella digital,Unidad de Delitos Contra la Propiedad,En investigación,No,17152,Baja
FELCC-00070,2025-05-07,23:56:39,Robo domiciliario,Miraflores,Adán Porras Rebollo,50,Femenino,Repudiandae quidem neque eos dolore odio nostrum deleniti. Error illo ullam laboriosam in. Quam debitis doloremque hic.,Reconocimiento visual,Unidad de Robo de Vehículos,Con detenido,No,30181,Media
FELCC-00071,2025-05-07,17:21:33,Robo a mano armada,Zona Sur,Chucho Marí Polo,67,Femenino,Occaecati corporis nihil molestiae et ex voluptatibus. Minima temporibus mollitia at facilis eum.,Testigos,División Cibercrimen,Cerrado,Sí,5681,Baja
FELCC-00072,2025-05-07,13:37:22,Robo domiciliario,Miraflores,Fortunato Noriega-Domínguez,63,Femenino,Tempore quia quos qui possimus. Voluptatibus est voluptas pariatur.,Reconocimiento visual,Unidad de Delitos Contra la Propiedad,Sin pistas,Sí,1305,Baja
FELCC-00073,2025-05-07,14:08:28,Robo a mano armada,Miraflores,Clara del Amigó,45,Masculino,Earum illum corrupti totam nesciunt atque illum. Ullam ad assumenda corrupti at. Quae vel error dolorum optio alias.,Cámara de seguridad,Unidad de Robo de Vehículos,Cerrado,Sí,7277,Baja
FELCC-00074,2025-05-07,07:52:38,Robo domiciliario,Sopocachi,Brígida Rosselló Valenciano,63,Femenino,"Totam veniam eaque eaque vero mollitia. Voluptates unde ipsa.
Recusandae facere possimus harum molestias. Aperiam dicta consequuntur a.",Reconocimiento visual,Unidad de Robo de Vehículos,Con detenido,No,44132,Media
FELCC-00075,2025-05-07,17:58:54,Robo a mano armada,Sopocachi,Lope Pozuelo Mendoza,21,Masculino,Consequatur incidunt voluptas nemo molestiae fugit impedit. Sed quod eveniet accusamus.,Cámara de seguridad,División Cibercrimen,Derivado a fiscalía,No,1081,Alta
FELCC-00076,2025-05-07,02:55:09,Robo a mano armada,Miraflores,José María Calderón Luque,39,Femenino,Provident recusandae possimus. Facilis sunt omnis natus enim officiis.,Ninguno,División Cibercrimen,Con detenido,Sí,18387,Media
FELCC-00077,2025-05-07,01:54:47,Robo a mano armada,Miraflores,Gilberto Capdevila-Torrecilla,51,Femenino,Esse voluptatum illo nulla occaecati. Maiores quia necessitatibus iusto porro aspernatur.,Ninguno,Unidad de Robo de Vehículos,Sin pistas,Sí,48088,Baja
FELCC-00078,2025-05-07,17:07:25,Robo domiciliario,Zona Sur,Loreto Ripoll,21,Masculino,Veritatis praesentium odio cupiditate corrupti dicta porro. Laboriosam expedita minus facilis. Ab pariatur corrupti esse eos.,Ninguno,División Cibercrimen,Derivado a fiscalía,No,39662,Media
FELCC-00079,2025-05-07,08:12:28,Robo de vehículo,Zona Sur,Conrado Carranza Verdugo,32,Femenino,Maiores incidunt porro eos. Pariatur reprehenderit ratione impedit quod neque architecto. Atque reiciendis similique sunt ea magnam voluptatibus. At deleniti omnis quia.,Testigos,Unidad de Robo de Vehículos,Con detenido,No,14335,Alta
FELCC-00080,2025-05-07,00:17:45,Robo a mano armada,Centro La Paz,Nando Espada,40,Masculino,Ab nesciunt magni consectetur. Eaque quod enim facere non excepturi. Omnis impedit perspiciatis unde eligendi minus perferendis.,Huella digital,Unidad de Delitos Contra la Propiedad,En investigación,No,3898,Baja
FELCC-00081,2025-05-07,18:46:20,Robo en vía pública,Centro La Paz,Yago Soriano,39,Femenino,Fugiat voluptas quisquam quidem. Porro nostrum id ex dolores vero. Quia culpa excepturi.,Huella digital,Unidad de Delitos Contra la Propiedad,En investigación,No,22786,Baja
FELCC-00082,2025-05-07,04:21:27,Robo a mano armada,Villa El Carmen,Jessica Prats Galindo,47,Masculino,"Corrupti quis explicabo odit. Aliquam fugiat architecto.
Officiis animi deserunt modi. Pariatur dolore reiciendis aut quisquam.
Cupiditate voluptatem quaerat soluta voluptatem.",Testigos,Unidad de Delitos Contra la Propiedad,En investigación,Sí,21357,Media
FELCC-00083,2025-05-07,05:51:00,Robo en vía pública,Centro La Paz,José Luis del Moya,58,Masculino,Ex error reprehenderit provident nihil quam. Sapiente laborum corrupti laboriosam vitae fuga corrupti. Ducimus quidem expedita temporibus excepturi dolor at nihil.,Cámara de seguridad,División Cibercrimen,Cerrado,Sí,24727,Media
FELCC-00084,2025-05-07,20:19:17,Robo en vía pública,Centro La Paz,Rubén Pavón Bayona,20,Masculino,Eos debitis optio ipsum quidem quo. Rerum eos labore inventore necessitatibus aliquam molestiae.,Testigos,Unidad de Delitos Contra la Propiedad,Con detenido,No,36664,Alta
FELCC-00085,2025-05-07,16:17:47,Robo domiciliario,Miraflores,Ibán Meléndez,29,Masculino,Ipsa alias itaque nihil iure distinctio voluptatem nobis. Ab rerum quisquam. Fuga quos a consequuntur aut harum.,Reconocimiento visual,Unidad de Robo de Vehículos,Sin pistas,Sí,25279,Media
FELCC-00086,2025-05-07,00:32:48,Robo a mano armada,Zona Sur,Darío Solsona Arranz,67,Masculino,Labore dicta quibusdam maiores unde laudantium similique. Nemo veniam ipsa saepe vel nostrum.,Reconocimiento visual,Unidad de Delitos Contra la Propiedad,Derivado a fiscalía,Sí,1395,Baja
FELCC-00087,2025-05-07,12:35:09,Robo de vehículo,Zona Sur,Cándido Luz,35,Masculino,Eveniet cupiditate quos quas accusantium ea. Ratione odio non sit. Quas a voluptas ipsam ipsum id.,Ninguno,División Cibercrimen,Con detenido,No,31414,Media
FELCC-00088,2025-05-07,10:31:33,Robo a mano armada,Villa El Carmen,Nacio Lobo Roldan,32,Femenino,Eligendi laborum beatae blanditiis ab corporis illum.,Reconocimiento visual,Unidad de Robo de Vehículos,En investigación,No,38528,Media
FELCC-00089,2025-05-07,05:42:13,Robo de vehículo,Miraflores,Nacio Capdevila Nieto,73,Masculino,"Deleniti necessitatibus quos ipsa. Nemo debitis dolor atque. Nam consequuntur reiciendis consequuntur quas voluptates aperiam.
Expedita eligendi quibusdam iste.",Ninguno,Unidad de Delitos Contra la Propiedad,Con detenido,Sí,9684,Alta
